Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,17,6445359,15.0,13.0
Albania,102,2906126,46.0,44.0
Algeria,35,15205854,19.0,16.0
Angola,64,20397115,41.0,22.0
Argentina,237,106474858,92.0,84.0
Armenia,73,2150112,38.0,33.0
Aruba,162,172216,84.0,78.0
Australia,229,57988175,88.0,86.0
Austria,207,18418001,77.0,75.0
Azerbaijan,137,13772531,53.0,48.0
Bahamas,88,340866,43.0,41.0
Bahrain,211,3456237,75.0,75.0
Bangladesh,171,279175368,80.0,73.0
Barbados,110,316377,57.0,54.0
Belarus,139,13206203,68.0,67.0
Belgium,224,25679062,81.0,80.0
Belize,126,493758,64.0,55.0
Benin,31,3681560,27.0,23.0
Bhutan,250,1910077,91.0,88.0
Bolivia,121,13892966,63.0,52.0
Bosnia and Herzegovina,58,1924950,29.0,26.0
Botswana,119,2730607,74.0,66.0
Brazil,217,458439642,88.0,80.0
Brunei,271,1173118,99.0,98.0
Bulgaria,63,4422847,30.0,30.0
Burkina Faso,15,2947625,12.0,7.7
Burundi,0,17139,0.1,0.1
Cambodia,248,40956960,91.0,87.0
Cameroon,7,1838907,6.0,4.7
Canada,230,86493313,87.0,84.0
Cape Verde,141,773810,65.0,56.0
Central African Republic,26,1217399,24.0,23.0
Chad,15,2356138,14.0,13.0
Chile,316,59964104,95.0,93.0
Colombia,170,85767160,84.0,72.0
Comoros,75,642320,40.0,35.0
Congo,4,3514480,3.4,2.6
Costa Rica,218,11017624,88.0,82.0
Croatia,129,5260110,57.0,55.0
Cuba,343,38839747,94.0,88.0
Curaçao,161,254367,69.0,63.0
Cyprus,149,1788761,56.0,54.0
Czech Republic,166,17679934,65.0,64.0
Denmark,227,13226703,83.0,82.0
Djibouti,23,222387,21.0,17.0
Dominican Rep.,147,15807312,67.0,56.0
Ecuador,206,35827364,87.0,81.0
Egypt,91,91447330,50.0,37.0
El Salvador,170,10998770,72.0,67.0
Equatorial Guinea,36,484554,20.0,15.0
Estonia,150,1994626,65.0,64.0
Eswatini,47,535393,34.0,29.0
Ethiopia,44,49687694,40.0,34.0
Fiji,181,1609748,79.0,71.0
Finland,221,12186022,82.0,79.0
France,219,146731437,81.0,79.0
French Polynesia,162,453259,67.0,65.0
Gabon,26,567575,14.0,12.0
Gambia,35,812811,19.0,15.0
Georgia,78,2902085,44.0,34.0
Germany,220,183126332,78.0,76.0
Ghana,61,18643437,34.0,24.0
Greece,197,21144574,74.0,71.0
Grenada,80,89257,39.0,34.0
Guatemala,109,18035992,50.0,38.0
Guinea,50,6329141,36.0,21.0
Guinea-Bissau,30,572954,28.0,18.0
Guyana,129,1013442,62.0,59.0
Haiti,3,342724,2.1,1.4
Honduras,149,14549986,65.0,56.0
Hong Kong,238,17731631,91.0,87.0
Hungary,169,16530488,66.0,63.0
Iceland,223,805469,86.0,80.0
India,145,1984334136,74.0,67.0
Indonesia,155,418977695,74.0,62.0
Iran,181,149957751,78.0,70.0
Iraq,47,18636865,28.0,19.0
Ireland,222,10988349,83.0,82.0
Israel,201,18195034,74.0,68.0
Italy,230,138427859,84.0,80.0
Ivory Coast,50,12753769,31.0,22.0
Jamaica,50,1462305,28.0,24.0
Japan,227,286515098,82.0,81.0
Jordan,99,10007983,48.0,45.0
Kazakhstan,113,20918681,51.0,50.0
Kenya,35,18535975,24.0,18.0
Kiribati,125,147497,69.0,52.0
Kosovo,99,1831127,49.0,45.0
Kuwait,193,8120613,82.0,79.0
Kyrgyzstan,49,3158250,24.0,20.0
Laos,152,10894482,81.0,71.0
Latvia,151,2894748,70.0,68.0
Lebanon,83,5673326,39.0,35.0
Lesotho,49,1043380,43.0,41.0
Liberia,55,2716330,50.0,43.0
Libya,53,3579762,33.0,17.0
Lithuania,161,4489741,70.0,67.0
Luxembourg,210,1304777,78.0,75.0
Macau,228,1442458,97.0,93.0
Madagascar,8,2369775,4.8,4.4
Mainland China,244,3407945000,93.0,90.0
Malawi,12,2166402,11.0,8.5
Malaysia,223,71301952,88.0,86.0
Maldives,178,945800,75.0,72.0
Mali,12,2406986,9.1,6.6
Malta,263,1320226,95.0,93.0
Mauritania,63,2872677,43.0,29.0
Mauritius,202,2559789,77.0,75.0
Mexico,164,209179257,69.0,63.0
Moldova,81,2165600,41.0,40.0
Mongolia,170,5492919,70.0,67.0
Montenegro,109,675561,47.0,46.0
Morocco,150,54846507,68.0,64.0
Mozambique,104,31616078,49.0,46.0
Myanmar,115,62259560,61.0,50.0
Namibia,33,825518,20.0,17.0
Nepal,164,46888075,82.0,71.0
Netherlands,192,33326378,74.0,69.0
New Caledonia,161,462133,65.0,63.0
New Zealand,228,11200855,87.0,84.0
Nicaragua,176,11512460,91.0,85.0
Niger,15,3530154,14.0,11.0
Nigeria,25,50619238,14.0,10.0
North Macedonia,89,1850145,41.0,40.0
Norway,214,11426055,81.0,76.0
Oman,142,7068002,66.0,61.0
Pakistan,128,277816514,64.0,59.0
Panama,198,8415997,82.0,73.0
Papua New Guinea,7,615156,3.8,3.2
Paraguay,127,8952310,56.0,49.0
Peru,240,77892776,91.0,85.0
Philippines,142,153852751,70.0,66.0
Poland,144,54624465,60.0,59.0
Portugal,240,24616852,95.0,87.0
Qatar,247,6981756,93.0,93.0
Republic of the Congo,15,831318,13.0,12.0
Romania,87,16827486,42.0,42.0
Russia,117,168992435,57.0,52.0
Rwanda,180,22715578,72.0,69.0
Saint Lucia,67,121663,33.0,30.0
Saint Vincent and the Grenadines,65,71501,33.0,28.0
Samoa,251,494684,99.0,99.0
São Tomé and Príncipe,102,218850,58.0,45.0
Saudi Arabia,195,66700629,78.0,73.0
Senegal,15,2523856,14.0,6.6
Serbia,123,8534688,48.0,47.0
Sierra Leone,45,3493386,34.0,24.0
Singapore,250,14242290,88.0,88.0
Slovakia,130,7076069,52.0,51.0
Slovenia,144,2996643,61.0,59.0
Solomon Islands,69,463637,42.0,27.0
Somalia,20,3143630,17.0,11.0
South Africa,63,36945840,38.0,33.0
South Korea,244,126062256,87.0,86.0
South Sudan,11,1226772,11.0,10.0
Spain,202,95245599,88.0,86.0
Sri Lanka,182,39602871,78.0,67.0
Sudan,19,8179010,16.0,11.0
Suriname,87,505699,46.0,41.0
Sweden,220,22674504,76.0,74.0
Switzerland,184,15772676,71.0,70.0
Syria,25,4232490,16.0,11.0
Taiwan,246,58463820,89.0,83.0
Tajikistan,148,13782905,56.0,54.0
Tanzania,15,8837371,13.0,7.0
Thailand,200,139536468,82.0,76.0
Timor-Leste,128,1652643,64.0,54.0
Togo,41,3290821,26.0,19.0
Tonga,232,242634,99.0,93.0
Trinidad and Tobago,113,1575183,54.0,51.0
Tunisia,113,13192714,62.0,55.0
Turkey,177,147861309,69.0,64.0
Turkmenistan,120,7140000,50.0,49.0
U.A.E.,255,24922054,99.0,99.0
U.K.,224,149664930,80.0,75.0
Uganda,49,21756456,37.0,25.0
Ukraine,71,31668577,36.0,34.0
United States,180,597655035,78.0,67.0
Uruguay,251,8694015,87.0,83.0
Uzbekistan,166,55782994,59.0,46.0
Vanuatu,103,309433,57.0,42.0
Venezuela,133,37860994,78.0,50.0
Vietnam,242,233534502,90.0,84.0
West Bank & Gaza,80,3734270,43.0,38.0
Yemen,3,864544,2.4,1.5
Zambia,41,7404709,18.0,26.0
Zimbabwe,82,12045572,43.0,32.0
